Sentence,New
그알보면 무서워요......ㅠ,불안
재미로 살생하는 건 이제 그만하자,중립
이러다가 한반도에 날개달린 짐승은 싹 없어지는거 아니냐?,불안
이인간 하는짓거리 보니 진짜 우리도 주한미군 철수할거 대비해서 전략적으로 핵무기 준비해야 될지도 모르겠다.,불안
기사 읽는 순간 소름돋음 너무 무서운 실험이다,불안
뭐든 장단점이 있기 마련이다만 총기소지법 문제는 정말 신중하게 생각할것...,불안
영화가 점정 현실이되는건가..,불안
아씨 이래서 어디 유럽무서워서 여행가겠나,불안
눈빛보소,불안
소름끼쳐 무섭다,불안
우리나라는 테러나면 용의자라도 추릴수있을라나..,불안
이제는 언론에서 뛰여주면 겁난다. 망할까바,불안
성근이야 늘 그랬지만 이젠 한화 구단이 더 무서워.,불안
어느날 갑자기 성자들이나 된 마냥 수십년을 넘게 행해지고 있던걸 자기만 모르다 이제서야 알게된걸 어느날 갑자기 일어난 사건마냥 보도하고 선동하는 것들보면 참 가관......,불안
진짜... 내일 탄핵안되면 무슨일 일어날거같아요 ㅜㅜㅜㅜ,불안
진짜 영상으로 봐도 후덜덜~~옴마 넘 무섭다,불안
유리가 깨질때는 대형사고가 나겠네.,불안
가도. .남자들이랑 같이 샤워할수있을까 ?,불안
최순실이 jtbc한테 보복할것같아,불안
싱크홀도 전세계적으로 유행타나보네 ㅋㅋㅋㅋ,중립
언젠가 네 자식이 그리 죽어있는것을 볼테지...,불안
자중하세요.,분노
언론사가 떡찰이나 견찰보다 수사를 더 잘하는 현실이 무섭다,불안
몇일전 국내에서도 교환 받은 폰이 다시 폭발했었죠,불안
 100안에 조기대선.,중립
재난현장인가????,중립
그냥 총기자유화 하자..,중립
 진짜 구한말 처럼 될지도 모른다,불안
하루하루가 기록 갱신이지머,불안
더 나라망신 주지말고 푹뒤로가서 암생각말고 살어~^^,분노
 의식있는척 쩌는구만 ㅋㅋ,분노
정말 세상 말세다...,불안
200년은 때려야지,중립
나이 먹으면서 나이값하는경우와 못하는경우..,분노
다음주 공개 한다는데 심장 쪼들릴듯 ㅋㅋㅋㅋㅋ,불안
고상한척하는 인간 쓰레기들은 모조리 이번에 뿌리뽑자.,분노
앞에 있는 경찰 도끼들고 있는건가?,중립
과연 그럴까.......,불안
여진이다.,중립
 이상한사람하고 엮이면 진짜 인생망함;;,불안
 중국이 싫다고 떳떳하게 말할수 있는 한국인들이 대체 몇%일까요?,불안
이날 상무대에 있었는데 전쟁나는줄 알고 엄청 쫄아있었지...,불안
미용사 믿을수있을까,불안
현관문 밖에는 배고픈 늑대들이 항상 우글 우글 거리고 있다..,불안
7월중순부터 어제까지 24시간 에어컨 틀었는데...,중립
 이미 7엣지 큰돈주고 액정 바꿔본지라 그게 젤 겁남,불안
"발화의 모든조건은, 보드의 성능에서 부터 시작된다.",중립
진짜 이건아니지않나,분노
 우려 스럽네 우짜먼 존노?,불안
다음대통령제대로할사람있을까 ㅡ,불안
신안 무섭네...,불안
 이번 미국 대선은 숙청의 대선이 되는게 아닌가 걱정스럽다..,불안
연방제 국가에서 분열을 야기하면..,중립
다이빙하는 사람들보면 불안불안,불안
 진짜 세뇌와 돈이 무섭네요.,불안
 어차피 조만간 3차대전 일어날건디~,불안
아니그럼 나같이 이쁜언냐들이 짧치입고 등산복입은 아저씨들이랑 같이 담배펴야 하나여 무섭긔,불안
근대 3월달까지 버티다 터지면 우캄,불안
이런 기사를 은폐엄폐시키는 조직이 무섭다....,불안
수영장은 힘들테고 해수욕장에서 몰카 빈번하게 일어나겠네,불안
이제 병사를 마구 찍어대는 시대가 오겄네요,불안
 제발 가만히 있어줘요 ㅋㅋ,불안
폭탄으로승부하려한다;;;,불안
베러리가 뜨거워지면 일단 베러리를 빼야겠구만요,불안
이런 기사 볼때면 노후에 대한 막연한 두려움이 생기는건 사실이네요,불안
총기규제 법안 도입의 소지가 충분해 보임...,불안
 학생들이 버스타는 곳인데 학생들이 버스 안보이니깐 찻길에 나가서 서있어서 위험.,불안
 너무 좋은데 왜 이렇게 불안한지..,불안
" 소매치기들은 다 모인다고 보면 되고, 도라이 하나가 칼부림을 할 수도 있다.",불안
북한은 핵폭탄 ...,불안
 트럼프는 사드같은거 토달다간 주한미군 철수도 걍 해버릴 인물인데?,불안
전세계적으로 대립이 극도로 치닫는구나,불안
 그러다가 빠지면 귀신같이 권혁이 다시 올거야,불안
 지금은 다 죽이고...,불안
 쇽은 죽을 수도 있는 엄청 무서운건데...,불안
한번 사람고기 맛본 육식동물은 계속 사람공격합니다...,불안
위험하다.,불안
좀 무섭네요,불안
유럽에선 일자리없으면 나라잘못이라고 폭동일으키고 하는데..,불안
전쟁이 따로 없네요,불안
지금가고 있는 길이 바른길인가?,불안
 테러없는 한국이 더 불안하고 힘든 곳이다.,불안
 저 여자에요 여자..,중립
김진태가 무섭기는 무서운갑다.,중립
친구되긴실구무시하기엔피해끼치고표정하고 눈만마주쳐도우울해지고두려워지니원흑ㅠㅠ,불안
어떻게 해야할까요 진짜,불안
.범죄자많네,불안
카톡한거 몰래몰래 사진은 다찍고있는데어떡해야하나요ㅠ,불안
 모르겟네요..ㅠㅠㅠ휴..사회적시선은 괜찮은거죠..??,불안
저는 아직도 당신에 대해서 모르겠어요.,중립
 40만원을 언제 모아 ㅜㅜ0,슬픔
 어떻게 친해지는 방법 없을까요?,불안
처음 독립하는거라 많이 고민되네요,불안
신고하면 cctv랑 확인하고 지문채취같은것도 하나여..?,불안
괜히 걱정되네요,불안
유게에서 만이 글 올리다 보니고민게시판도 한페이지에 하나만 되는줄 착각해서내 글 내려가는거 기다린게 고민0,중립
안양역에 내리면 수도군단으로 어떻게가나요??ㅠㅠ,불안
 현재 로컬병원에서 5000 조금 넘게 받고 있긴한데이게 앞으로 몇년이나 갈지...,불안
근데 오픽이 처음이라 어떤 형식의 수업이 좋은지 잘 모르겠어서 학원이나 강의를 바로 선택못 하겠더라구요.,불안
 제가 우유부단해서 다칠지도 모르구요..,불안
그냥 카톡으로 얘기할까,불안
 나중에 내 주변에 아무도 없을까봐ㅜ 조언좀 해주라ㅜㅜㅜ,불안
아 정말 더럽게 전화 안오네요.....................ㅋㅋㅋㅋㅋㅋㅋㅋ,불안
지금 고삼이고 성적도 좋지않습니다...,불안
 유지가 더 어려운거 같애요ㅠ,불안
그리고 알바를 처음 해보는데..,불안
어떻게 해야 할까요0,불안
 부코에 도촬이나 몰카 많아ㅠㅠ?,불안
갑자기 필름이 끊기는데병원에 가야할까요??,불안
그렇다고 회사 덜컥 그만두고 회사 구하기엔..,불안
 정규직 전환이 안될수도 있다는거 아냐..? ㅋㅋㅋㅋㅋㅋㅋ,불안
다른 분들은 스펙이 어떻게 되는지 학벌이 어떻게 되는지 궁금해요,중립
노산이면 산모도 아이도 위험이 높다고 하잖아요..,불안
그냥네이트판시작한지얼마안되서 댓글여러개달앗는데 갑자기못적는대ㅜㅜ 왜그런거야?,불안
 혹시 이러는거 싫어하진 않을까해서 올려봅니다!,불안
면접때 OA능력 테스트를 한다고 하네요..,중립
건선이 심각항 병이야??,불안
가산점 더하면총 84점인데...,중립
 파견계약이구요사람들은 다착한데 제가 좀 앞이 걱정됩니다.,불안
이제 졸업하고 대학을가야하는데 공부를 잘 못해서 걱정이만저만 아닙니다..,불안
자1살하는게 좋을까요?,불안
혹시 아기한테 문제생기진않겠죠 ??,불안
 약품 도매상 일하시는 선배님들 도움좀 주세요ㅜ,불안
이제 산부인과는 검사는 거의 받을일없는데..,불안
사진은 묻힐까봐!!,중립
혹시 편지를 돌려보는 일도 생길 수 있나요?,불안
살려줘.,불안
하반기 기간엔 사람들이 몰려서취업이 더 힘들어지는건가요??ㅜ,불안
 방안은 불도 안켜져서검앴고.,중립
 연습을 많이 하는게 방법인가요??,중립
난 두려움에 떨고 있어.,불안
내일 제왕절개로 와이프가 수술에 들어갑니다.,중립
근데 시부모님앞에서는 뭐라고 해야할지 모르겠어요.,불안
영어를 전혀 모르는데 될까요?,불안
언니가 신천지에 빠진 것 같아요.,불안
 지금은 백수고요..1년6개월동안 너무 어린마음에 공부도 잘 안하고 놀기만하여 저만의 저문지식도 부족하고 다시그쪽업계에 빠지기엔 두렵고 겁이납니다.,불안
아니면 제가 많이 이상해 보여서 그런가요?,불안
지방대학교 졸업 후국어교육편입합격했는데진학하는게 좋을까요..?,불안
그동안 운동안했는데.. 걱정돼여...,불안
혹시 아시는분 계신가요??,불안
좀먹다보니.. 필름이끊겼어요..,중립
내자신을 바꿀 용기가 안나네요,불안
민폐진 않겠죠?,불안
혹시아토피여도 백일지날때까지둬도되나요?ㅜ,불안
살빼봣는대 헬스로는걱정이되서요..,불안
다른 곳에 갈 곳이 있는것도 아닌상태여서 아직은 망설여집니다.,불안
아까 밖에서 놀다가 집에누워있는중 피토까지 했네요..,불안
" 확실한건 학원을 다니기싫은건데, 학원을 안다니면 제 자신이 무너질거같아서요..",불안
완전 극과 극이라서고민...,불안
내가 나를 못믿나??,불안
그래서 어디서부터 어떻게 배우고 해야하는지 정말고민이네요ㅠㅠㅠ,불안
병원은 부모님께 아직 말씀안드려서 못가고말씀드리기엔 좀 뭐하네요,불안
  후폭풍이올수있을까요?,불안
 뭔가오늘 내가 학교생활에 실수라도하지않았을까 걱정하고있고 ㅠㅠ,불안
 병원 갔다가 운동을 중단해야 되나요??ㅠㅠ,불안
조리원을 2주정도 예약을 잡아놓긴했는데꼭 2주나있을필요가 있을까해서 글올려봅니다ㅜ.ㅜ,불안
해온것없이 놀기만해서 앞으로에 대한 걱정뿐입니다.,불안
듣는 개가 물지도 몰라,불안
혼자 들어가기 무서워서 ㅠㅠㅠㅠㅠ,불안
재활치료만 6개월이 걸리고..,불안
그치만 정말 그날 새벽 그곳에 갔는지 모르겠어요 ㅠㅠ,불안
 남자는 뭐받으면 돟은지 잘모르겠어서 ..,불안
저 어떻게 해야되요 ....,불안
 그런데 실내자전거하면 막 다리에 알생긴다는 말도 들었었는데 진짠가요?ㅜ,불안
 명문대 나와도 행복할수있을까도 의문이고..,불안
"프사는 지 사진으로 해놓고, 카톡 배경 사진은 커플사진으로 한동안 해놓다가다 사라졌는데 맘에 변화가 있는건가요?",불안
 개인적으러 이런곳은 안해봐서 떨림..,불안
지금 대학등록을 앞두고 재수를 결심하고 있는데요,중립
 안맞아도?경영쪽으로 가는게 나은건가요?,불안
 어떻게 해야될지 모르겠어요..0,불안
그런데 한국에성들도 흑인주위에 붙어서서서감  그래서 고민0,불안
진짜 그렇게 힘든가요?,불안
근데신고당하면어떡해되?,불안
근데 소문이 거기까지 퍼진거라면 아주 끔찍한데?,불안
솔직히 이상한곳(?)가는건 아닐까 무서워서글남겨요..,불안
"런지, 스쿼트 같은 거 해도 되나요;",불안
또 다시 저를 찾아오진 않겠죠?,불안
내일 중소기업 회계팀에 면접보러 가는데 ....,불안
 자연분만해보신 언니분들 ㅠ많이이아픈가요?,불안
 속이 너무 쓰려서요,불안
다 떨어질거같고?무섭고 ..,불안
알면알수록 손님들이 무섭다는 ㅋㅋ,중립
믿어봐도될까요?,불안
  어떤방법이옳을까ㅠㅠ,불안
물론 저야 첫 달이기에 월급에 대해서는 회사에서도 아직 아무런 말이 없지만솔직히 불안합니다.,불안
"다이어트 10kg 감량이 목푠데 안 그래도 없는 가슴, 엉덩이 빠질까 봐 걱정돼요",불안
제목 그대로 이런 조건이면 어디를 가는게 나을지..,불안
아니면 그 사람한테 무리한 요구를 하지 않을까.,불안
물건을 어디에 두면 어디에 두었는지 기억을 못하네요.,불안
거기에 개인정보가 다 담긴 이력서인데...,중립
진짜 판 본지 6개월 되가는데 결시친 여자들 보면 진짜 세상에 이런여자들만 있나 싶고 여자 만나기 무섭다.,불안
나 이제 더이상 발전이없으면 어떻게살아가야될까,불안
다들 취업 앞두고 스트레스 고민 많다고 하는데..,불안
 중대 안쓰면 편지 안가나요??,불안
다이어트 할 때 굶으면 몸이 많이 상할 거 같아서요,불안
"경력도 별로없고, 포트폴리오도 없기에 어디 이력서낼 엄두도 못하고있네요..",불안
 제가 계속 이 사장님을믿고 일해야할까요,불안
그러면 큰일인데 어떡게하죠?0,불안
 가격대는 얼마정도하나요..?,중립
 결국 말씀드려야 옳은 일일까요?,불안
다시 취직할 수 있을까요..,불안
 라는 생각도 자주들고우울해지기까지 하네요,불안
망하면 어떡하죠..ㅜㅠㅠ,불안
 프락셀 치료는 아파서 안되겠고 돈좀쓰더라도 좋은방법없을까요,불안
이제 곧 실습도 나가고 하는데 실습가면 실습가서 뭐하나요?ㅠㅠ,불안
이따 엄마한테 뭐라말하지엄청 혼날텐데 아 진짜...,불안
 내년에 잘 될까요,불안
 지워져 버리고이 뿅뿅같은 걸 어떠케 해야 될까요0,중립
앞에 놓인 징검다리뿐인데....뛰어 넘어야 하나...,불안
제목 그대로 토스공부 다들 어떻게 하시나요??,중립
진로 및 학업상담 부탁 드립니다.,중립
 마음 정리가 확실히 된거겠죠...?,불안
그때 첫 아이를 출산하는데요..,중립
아가한테는 문제가 없는거겠죠?,불안
사랑하는 마음이 남아있는지도 모르겠습니다.,불안
 아님 비만인가요?,중립
 지금 겁이나서 전화오는거다 무시하고 있는데 어떻게해야할지ㅠㅠ,불안
여기서 양이안늘까바 걱정도되네요..,불안
안그러면 언젠간 너한테 연락할것같아...,불안
 걱정되요..이러다 영영 안되는건 아닌지..,불안
이럴 때 어떡하면 좋죠?,불안
 정도 더 그랬다는데 어떻게 해야하죠?,불안
도저히 어찌해야할지 모르겠네요.,불안
수요일날 시험치는데 주말동안 계속 놀았는게 고민.,불안
학교다닐떄 학교에서 배웠던거 기본밖에 모르는데 ㅜㅜ,불안
폭력이시작되면 끝내야하니까끝임,불안
 근데 이남자가 안경을 쓰고 그래서 인상도 그닥 좋지 않고 좀 무서운데..,불안
첨이라 걱정되긴 하는데..,불안
저 귀신같ㅌ은거보면 오늘 밤 혼자못자요 ㅠㅠ0,불안
의사 선생님은 담주에 오면 볼수 있다는데.. 걱정되요..ㅠㅠ이게 상상임신일지 ...,불안
 여기서 버텨야 되긴 하는데 어떻게 버틸지,불안
 무섭게 째려보길래 놀라서 튀었거든요,불안
보니까 저도 하고 싶어서...!하는게 좋을까요,불안
일단 알았다고는 했는데 자꾸 캥겨요,불안
미래에 대해 참 불안해요.,불안
걱정은수시한곳만써서떨어지면끝나는거라...,불안
재산과 양육비를 안주면 면접교섭권도 박탈되는건가요?1,불안
 학교에 휴학계도 내고 왔고 남은건 마음 졸이면서 기다리는것 뿐..,불안
 혹시 나쁜마음을 먹지는 않을까 걱정도 되고요...,불안
아...이혼하고 싶을 때 어떻게 극복하셨나요?,불안
아직 임신호르몬이 있어서 그럴수 있다고..ㅠ,불안
"일하는시간은 월,토는 출근시간이 7시이고 나머지는 8시30분 퇴근시간은 6시 입니다여기 괜찮은 회사일까요?",불안
카톡안읽고 친구삭제하면 1이사라지나요,중립
뭐라고 대답해야 면접관들이 안좋게 보지 않을까요,불안
 생리가 터져버렸어요....,슬픔
 장거리라 더 힘들고 무섭다..,불안
정말 저 어떡해야할까요,불안
 보통 이렇게 연락이 없는거 맞나요??,불안
배도 콕콕 아프고..바로 배란이 될수 있나요 ?,중립
그냐여자가 쪽지로 친하게지내고싶다이런식으로 전달한다면거부반응 느낄까요??,불안
 지금 저희 커플에 권태기가 온 것일까요?,불안
어딘가 취업을 하기가 애매해요,불안
글들 보니까 평판이 안좋은거 같아서요,불안
 자연분만하면 암래도 예전같지 않다고 해서여....ㅜㅜ,불안
 집착남 된거같이,중립
어떻게 하면 면접에서 논리적이게 말을 잘 할 수 있는지 조언 부탁합니다ㅠㅠ,불안
후폭풍도 없겠죠ㅠ휴...,불안
헤어지고 앞으로 저 또 사랑받을수 있을까요..,불안
이남자 절 좋아하기나 싶은지 늘 의심이되요,불안
언제쯤이나 하게 되나요,중립
제목이 고민이네요.,불안
염려를 많이하는데,불안
 그래서 암말도 못해요,불안
안그럼 직장에서 뭐라고 해요;;;;;;,불안
핸드폰은 계속 꺼져있는상태고수신빼고 다 정지 시켜논 상태인듯  샆네요,중립
정말 뭐하면서 보낼까요..,불안
그럼 나머지날은 안먹어도 피임이 되나요?,중립
살려줘요,불안
"그만두려고 하는데, 이직이 잘 될찌......",불안
남자친구랑 연애에 확신이 없어요..,불안
전 제왕절개했는데 아직 배가 많이 안들어가네요 ㅠ.ㅠ,불안
대학안나오고 오래 일할 수 있을까요?ㅠㅠ,불안
"무슨색 무슨꽃으로 해줘야 하지,",중립
 정말 이건 아닌걸까요..?,불안
조금만 숨겨주세요,불안
쪼금 겁나네요,불안
성적은계속해서떨어지고대학은점점멀어져가고..,불안
아빠가 너무 무서워요.......,불안
근데 갑자기 찾아가면여자친구 입장에서 별로일까요?,불안
실금 걸렸던 분들은 어찌 낳으셨는지요...,불안
현재 고3으로 취업쪽 진학에 개속 걸리는덕에 스트레스가 이만 저만 아니라 자해도 하고 싶다고 느껴지는데 겁이많아서 그런걸 못해요,불안
제 지인이 저한테 카톡으로 죽고싶다는 말을,중립
이거 이제 나 질려하는거임?,불안
남자들은어떤선물을좋아하나요?ㅠ,불안
그럼 제가 여기 다니게 된다면 1년 근무해도 퇴직금 못 받는건가요?,중립
 그걸 이겨낼려면어케해야할까요??,불안
 15살 차이 무린가..?,불안
아진짜 깨우면 나한테 ㄱㅈㄹ 할껏만같은 두려움.......,불안
 그래서 이별도 빠를 것 같아요.,불안
 근데 내가 너한테 연락할 용기가 없어.,불안
 전화도안받고요 저어떻하죠,불안
면접이 두렵고 겁만 많아서 고민만 늘어갑니다..,불안
제가 이상한 건가요?,불안
잘지내고싶은데 어떡해하죠1,불안
아이디 클릭해서 들어가는경우도 방문자기록에 남나요?,중립
어떡하져 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,불안
새아빠가 돈은 이곳저곳 다빌려와서 저희카드 막는데 도와주시면서 새아빠 큰땅이 해결된다고..,중립
그때의 우리로 돌아갈 수 있을까,불안
 그걸 못 하겠다..,불안
 이럴때 어떻게해야하죠 ㅠㅠ,불안
미용실가서 잘라달라고할수도없고-_-;;,불안
중증인가요?0,중립
사람이 언제 죽을지는 모르는거잖아요.....,불안
" 서울가기로해서 저혼자 ㅡ,.ㅡ",중립
 이거 나쁜징조같은건 아니겠죠??,불안
남자친구는 성인이고 저는  미성년자입니다,중립
결혼할사람이기도한데.,중립
 도대체 왜그런지 ㅜㅜ,불안
그 왜여자가 담배를 피면 기형아를 낳을 수가 있다라는 말이 있잖아요,중립
그래도 고려대 가고싶어서 고민임...0,불안
군대에서 많이 다친다고 하시던데..,불안
 어떻게 해야할지 모르겠어요..,불안
흐앙 갑자기 궁금해져서 끄적여봅니다 ㅠㅠㅠㅠ,불안
24살 별볼일없는 전문대 나옴.,중립
이거 어떡해야 할까요?,불안
여자 일급알바 할만한게 뭐가있나요 ?,중립
대학은 가야하나요?,중립
울아기만 이런건가요,불안
지금 어쩔수없이 밖에 나왔는데 너무 무서워요..,불안
전 여자인데 시선이 안좋은가요?,불안
감자가 GI지수가 높다고 해서..ㅠㅠㅠ먹어도 괜찮을까요?,불안
안녕하세요 인천 20남자....,중립
 이거 문제있는거 맞나요?,불안
어디 이직을하자니 초년생이라 경력도없어요,불안
제가 지금 너무 불안해서 이게 병인가 상담받고싶어서요...챗주세요!!,불안
내가 흑형하고 쫌 무섭게 생긴 얘들 빼고 잘 얘기하고 잘 놀거든요 ..,중립
 진짜 포기한걸까요?,불안
식단을 도대체 어떻게 해야 할지 모르겠습니다 ㅠㅠ,불안
2주후 테스트 결과 임신입니다...,중립
그렇다고 임신가능성은 있나요 ?,중립
집안에선 마냥 추울것 같아,불안
" ㅂ 조작 홍보이런 이야기가나올때마다 에이설마,,",불안
나가기도 겁나는 그런 날씨에요..,불안
 놓치기 아까운 사람이라 이렇게 고민도 해보는거 같네요..,불안
2010년에 여자친가 생길 거 같아서 고민임~ㅋㅋ,불안
낼이면 D-10인데....0,중립
 나 키가 152-3정도 되는데 하고 싶은데 키 때문에 많이 고민돼,불안
설사를 여러번 하는건 아니고..왜그런지 혹시 아시나요?,불안
 샐러드를먹는게좋을까요ㅠ??,불안
 용기가 안나네요,불안
분명 머릿속으로는 잘한거라고 생각하는데 .....,불안
근데 너무 무서워요....,불안
그렇게 친근하게 다가 오니 좀 의심되더라구요..,불안
이번에 복학해서 모가몬지도 잘모르고 그런데;;,불안
"혈압때문에 맨날 어지럽고 ,설사하고,운동하면 쓰러질려고 하는데 ㅠ0",불안
 한날은 냄새를 맡았는데 그곳에서 다른냄새가난다고하더군요,중립
지금은 다른 부대 배치가 된건지 모르는 상황입니다...,불안
고개 하나를넘으면산하나를 지나가면 그다음엔 무엇이있을까?,중립
아기가 움직이는지 안움직이는지 모르겟어요..,불안
 나는 사람들이 내 피부색에 대해 이야기하는 것을 두려워한다 ..............,불안
 그러다보니 양쪽집에서 신랑될사람도 불만이 폭발해서 ㅠㅠ,불안
 도와주세요,불안
혹시나 남자친구가 시간 지나 우리 연애에 지겨워 할까봐 걱정이에요..,불안
  된거였으면 좋겟는데 계약서 같은 서류를 하나도 작성 안해서 불안해요ㅜ,불안
 혹시 왜 그러는지 아시는 분 계시나요??,불안
회사여건과 다 맘에 들고 열심히 일하려구하는데.상사때문에 정신상담받아봐야할까걱정합니다.,불안
슈발 드디어 결전의날이 다가온다..,불안
계속 고민하다가결정을 내린건데괜찮을까요?,불안
뭘입고 가며 뭘 해 가야 할지..ㅠㅠㅠㅠ...,불안
 )옷수선과 피부관리를 두고 고민하고 있어요.,불안
완젼 고민이라는.....,불안
그 남자한테 일단 다가가보고싶은데 어떻게해야할지..,불안
 어떻게 해야할지 몰겠어요..,불안
제 군화는 하사인데여.....,중립
 200일 사귀고있는 20대 초반 여자입니다,중립
너무안움직여서먹기도싫지만어떻게하면좋을까요...?,불안
나중에 회사생활에 독수리타법이 문제가되나요?..,불안
 시험 1달도안남았는데 아..0,불안
 전 휴학중이라 그런지..,중립
제가 이글을 올리는 이유는 고민이 있어서예요.,불안
근데도 할만할정도로일이 줄었습니다.,중립
임상실습이 그렇게 많다고 들었어요...,중립
어떡하지 앞머리잏어서그런가?,불안
괜히 무섭네요,불안
흠.. 아 .. 흠이건 제고민이 아니라 친구고민입니다,중립
아시는 분은 아실...,중립
이건 접일높아서 강등당하면 안됨ㅠ,불안
 지금 진짜 미치겠네요 ㅋㅋㅋㅋㅋㅋ,불안
 보내면 뭐라 보내?ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,불안
저는어떻게 해야할까요,불안
저 도둑이라고 몰아가면어떡하죠?? ㅠㅠ,불안
26살이면 제가 항공과 1학년들중에도제일 나이많겠죠....,불안
몇세트씩 몇개 해야되믄게 적당할까 급해 ㅠㅠㅠㅠ,불안
선뜻 망설여집니다.,불안
 심각합니다.0,불안
한참뒤에 연락왓다면 얼마나사겼고 헤어지고 얼마뒤에 연락 왓나요?,중립
 가는길 어력나요?,중립
운전중에 끼어들려다 차를 긁고갔어요....,중립
 ? 처음엔 아토피인가했는데 작은 병원 2~3군데 돌아보니 큰 병원 가보라고 해서 조직검사 했습니다.,중립
참 겁이난다...휴,불안
 이런여자한테 함부로 어장치긴 어렵겠죠?,불안
우리 아들은 많이 늦은건가요,불안
처음이라서 지금 완전 불안해 죽겠어요..,불안
 그전엔 3년 4년 연애도 하고했는데저 결혼 못하나요? ..,불안
아 뭐를 어떻게 해야할지..,중립
"그런데 삶는 빨래 할 때 살균제를 넣으면, 뜨거운 물 때문에안 좋은 화학 물질 나올까요?",중립
제 몸에 문제가 있는걸까요?,불안
다른분들에겐 배부른소리라고 하시겠지만...,불안
돈벌기 힘들죠ㅠㅅㅠ?,불안
현재 한달 남짓된 남자친구가 있는 여자입니다.,중립
혼자 고민하다가 올려봅니다..,중립
" 만약 임신초기 문제라도 있을까바선득 못하겠어요,,,",불안
어떻게해야할지 ;ㅅ;,불안
사는게 무서워요.,불안
모유수유를 다덜 언제 끝나시고이유식을 시작하시나요??,중립
근데또 태어난지 얼마안된애기 배냇저고리만입히던데 바지막입혀도되는건가 걱정되기도하고....,불안
자격증 없으면 안쓰려고 하나요?,중립
임신 12주짼데자꾸 윗배가 콕콕 쑤시네요,불안
더 늦기전에 시험관 시술하려고 하는데요..,불안
 중1인데 그 윗집아저씨가 우리아빠랑 친해서 아빠한테 다말할듯...,불안
 이런문제를 얘기하면 더 싸울꺼 같아서 말도못하고있어요 ㅠㅠ,불안
어떻게 해야 할까요??,불안
뚱뚱한가요?,중립
 진짜 장난아니고 지금도 전화올까봐무서워요 ㅠㅠ0,불안
중국어 배우는게 쉽나요?,중립
  아마 63빌딩 측에서 알아서 잘 하겠지만  좋은 날 혹시나 하는 불상사가 있을 수 있으니까요...,불안
1개월..   마치 제가 시험 치르듯 가슴이 두근 두근 해지네요,불안
 오빠를 실제로보면 말이 제대로 할수 있을지 걱정돼요.,불안
10 뭔가 윈도우잘깨지고 문제가 좀있는듯..,불안
유튜브 보니까 서인영이 개쓰렉됬는데 이거 해명하셔야될듯한데요 해명안했다가 연예계에서 개됩니다.,중립
헐 .. 뭐하자는 거지 ㅋㅋㅋ,분노
비너무많이와서 무섭다ㅠㅠㅠㅠ 하늘뚫린거같아..,불안
로봇과 경쟁하는 사회로 갈지 로봇을 부리는 사회로 갈지... 순간의 선택이 인류의 미래를 결정한다.,중립
일자리 부족한데 .... 모병제 해야겠네.... 트럼프 가 대통령 되어 미군 철수 하면....,중립
뭔가 좀 무서움... 저 칩속에 사람몸 조종하는거라도 있으면 어떻게...,불안
이걸로 걸을수는 있어도 빨리뛰면 위험합니다 . .,불안
폭탄은 뭐하러주냐 ㄷ,불안
지진에 대한 우리의 준비는 어떤지 궁금하네요,불안
이날씨에 서울랜드로 8살 아들 소풍간다니 걱정이네요;;,불안
비행기도 참.. 중국스러워 보인다.. 그래도 맞으면 아프겠지?,불안
화성인에게 전쟁을 걸면 멸망만이..,불안
아무렇지도 않게 판단하는 팬들때문에 더 무섭다ㅡㅡ;;,불안
지켜보다 애가 죽었으면 그땐 아이도 죽고 고릴라도 죽고.,불안
위염 한번 걸리고나서는 먹는거 조심하게 되더라..,불안
삼성이 무너지면 한국도 무너진다,불안
명절이 두려운 사람들,불안
"속으로 오만가지 욕설이나 음담패설을 생각할텐데, 그게 다 업로드 된다면...",불안
아직까진 계곡가면 얼어뒤짐,중립
저래 입국심사 강화 해놓고도 테러나면 우짤라고,불안
경주도 규모 6.5 오겠지,불안
서인영이 쎈게 아니였음 . 가인이 한방에 보내버림 무섭다,불안
야당의 야망이 무섭다....,불안
테이큰 1에서 전기봉 치면서 고문하는 명장면,중립
폭발 안하면 다행이지,불안
새벽 3시정도 벼락칠것같은덴..,불안
힘들고 미래도 불안하다.,불안
사람에겐 저런 무시무시한 바이러스가 없어서 다행이다,불안
시원해질 겨를도 없이 추워질것 같아,불안
월드워Z같은 바이러스가 발생하면 지구는 어떻게될까?,불안
고양이까지 산체로 묻어버닌거 아닌까 무섭네요,불안
백날 노력만해도 안되는 시기가 도래함,불안
우리나라 자연 생태계 도로를 콘크리트로 막아버리니 앞으로 공기오염으로 강한비가 예상되고 땅속에서는 마그마가 숨을 쉬기위해 나올것이다 앞으로,불안
한동안 자꾸 떠오르는 무시무시한 영화였다,중립
살면서 천둥소리는 많이들었어도 콰과광하는번개는 첨이다..진짜소리크더라,중립
우린 아마 다 죽을듯,불안
샤오미 사고 싶은데 샤오미는 배터리 폭발 안하지?,중립
나 매일 만원버스 타고 출퇴근하는데 설마 출퇴근시간은 버스 안줄일 거지?? 설마..아닐거야!,불안
무섭다...is불특정다수가 테러대상이니 더무섭다,불안
노인분들 정말 앞만보고 운전하시드라.,중립
집에서 나가지말쟈..,불안
조류독감이 그렇게 위험한가?,중립
